country,year,pop,areakm2,gdpnom,receipt,ovnarriv
1,0,1187000,2040,7825666667,732000000,656000
1,1,1189800,2040,4684000000,820000000,660000
1,2,1200200,2040,4911000000,829000000,682000
1,3,1210400,2040,5825000000,960000000,702000
1,4,1220500,2040,6594000000,1156000000,719000
1,5,1243000,2040,6489000000,1189000000,761000
1,6,1240800,2040,6732000000,1302000000,788000
1,7,1250900,2040,7792000000,1663000000,907000
1,8,1274200,2040,9641000000,1823000000,930000
1,9,1284300,2040,8824000000,1390000000,871000
1,10,1283400,2040,9706000000,1585000000,935000
1,11,1288700,2040,11244000000,1813000000,965000
1,12,1293500,2040,11466000000,1271833333,798000
2,0,85000,451,615000000,225000000,130000
2,1,81000,451,622000000,221000000,130000
2,2,84000,451,698000000,247000000,132000
2,3,83000,451,706000000,258000000,122000
2,4,83000,451,857000000,256000000,121000
2,5,83000,451,937000000,269000000,129000
2,6,85000,451,1037000000,323000000,141000
2,7,85000,451,1039000000,396000000,161000
2,8,87000,451,962000000,408000000,159000
2,9,87000,451,841000000,349000000,158000
2,10,90000,451,973000000,352000000,175000
2,11,87000,451,1060000000,378000000,194000
2,12,85000,451,1031000000,306833333,146000
3,0,777000,440,788000000,291000000,207000
3,1,792000,440,778000000,272000000,215000
3,2,805000,440,807000000,274000000,218000
3,3,817000,440,849000000,300000000,239000
3,4,828000,440,905000000,337000000,246000
3,5,839000,440,1002000000,309000000,245000
3,6,849000,440,1141000000,327000000,254000
3,7,859000,440,1296000000,338000000,262000
3,8,869000,440,1355000000,334000000,266000
3,9,878000,440,1211000000,305000000,234000
3,10,887000,440,1136000000,298000000,230000
3,11,818000,440,1125000000,312000000,241000
3,12,834833,440,1176000000,308083333,238083
4,0,101500,344,523000000,93000000,129000
4,1,101700,344,523000000,83000000,123000
4,2,102000,344,544000000,91000000,132000
4,3,102200,344,596000000,104000000,142000
4,4,102500,344,602000000,86000000,134000
4,5,102700,344,701000000,71000000,99000
4,6,103000,344,705000000,94000000,119000
4,7,103400,344,764000000,109000000,130000
4,8,103700,344,832000000,109000000,130000
4,9,104100,344,776000000,99000000,114000
4,10,104500,344,770000000,97000000,110000
4,11,104900,344,780000000,105000000,118000
4,12,103017,344,790000000,95083333,123333
5,0,638200,765,7966000000,854000000,3869000
5,1,642500,765,7969000000,886000000,4388000
5,2,642100,765,8489000000,985000000,4831000
5,3,647200,765,9745000000,1206000000,4844000
5,4,671800,765,11233000000,1504000000,5667000
5,5,724800,765,13457000000,1603000000,6313000
5,6,811400,765,15848000000,1786000000,7289000
5,7,925700,765,18468000000,1854000000,7833000
5,8,1052000,765,22146000000,1927000000,8631000
5,9,1170000,765,19287000000,1873000000,8861000
5,10,1262000,765,21488000000,2163000000,11952000
5,11,1324000,765,25866000000,1766000000,6732000
5,12,875975,765,27026000000,1533916667,6767500
6,0,267500,431,3098000000,733000000,545000
6,1,268200,431,3096000000,706000000,507000
6,2,268800,431,3115000000,666000000,498000
6,3,269400,431,3244000000,767000000,531000
6,4,269900,431,3492000000,784000000,552000
6,5,270500,431,3908000000,1081000000,548000
6,6,271000,431,4197000000,1235000000,563000
6,7,271600,431,4483000000,1224000000,575000
6,8,272200,431,4344000000,1244000000,568000
6,9,272800,431,4396000000,1122000000,519000
6,10,273300,431,4245000000,1074000000,532000
6,11,273900,431,4313000000,966909091,568000
6,12,270758,431,4490000000,966909091,542167
7,0,62100,53,3480000000,431000000,332000
7,1,62500,53,3680000000,351000000,278000
7,2,62800,53,3937000000,378000000,284000
7,3,63000,53,4187000000,348000000,257000
7,4,63300,53,4485000000,426000000,272000
7,5,63600,53,4868000000,429000000,270000
7,6,63800,53,5414000000,495000000,299000
7,7,64000,53,5895000000,569000000,306000
7,8,64200,53,6110000000,431000000,264000
7,9,64400,53,5806000000,366000000,236000
7,10,64300,53,5765000000,442000000,232000
7,11,64700,53,4875181818,472000000,236000
7,12,63558,53,4875181818,428166667,272167
8,0,437200,4033,539000000,64000000,115000
8,1,445100,4033,563000000,77000000,134000
8,2,452700,4033,621000000,100000000,126000
8,3,460000,4033,814000000,135000000,150000
8,4,466800,4033,924000000,153000000,157000
8,5,472900,4033,972000000,177000000,198000
8,6,478300,4033,1109000000,280000000,242000
8,7,483000,4033,1333000000,375000000,267000
8,8,487400,4033,1569000000,432000000,285000
8,9,491600,4033,1605000000,349000000,287000
8,10,496000,4033,1662000000,387000000,336000
8,11,500600,4033,1903000000,438000000,428000
8,12,523600,4033,1899000000,247250000,227083
9,0,562500,2235,202000000,15000000,24000
9,1,577600,2235,220000000,9000000,19000
9,2,593200,2235,252000000,11000000,19000
9,3,609300,2235,325000000,16000000,21000
9,4,625900,2235,363000000,21000000,23000
9,5,643000,2235,388000000,24000000,26000
9,6,660600,2235,404000000,27000000,29000
9,7,678600,2235,466000000,30000000,15000
9,8,697000,2235,533000000,39000000,15000
9,9,715800,2235,537000000,34000000,11000
9,10,734700,2235,544000000,22600000,20200
9,11,753900,2235,611000000,22600000,20200
9,12,654342,2235,600000000,22600000,20200
10,0,69700,750,324000000,48000000,70000
10,1,69400,750,331000000,46000000,66000
10,2,69300,750,327000000,46000000,69000
10,3,69200,750,341000000,52000000,73000
10,4,69100,750,367000000,61000000,80000
10,5,68900,750,362000000,57000000,79000
10,6,68700,750,388000000,72000000,84000
10,7,68400,750,419000000,74000000,81000
10,8,68200,750,459000000,82000000,81000
10,9,67900,750,489000000,86000000,75000
10,10,67800,750,475000000,96000000,77000
10,11,67700,750,477000000,98000000,76000
10,12,68692,750,497000000,68166667,75917
11,0,84000,811,66000000,2700000,4800
11,1,85600,811,63000000,3200000,4600
11,2,87100,811,72000000,2985714,4900
11,3,88800,811,91000000,2985714,4900
11,4,90400,811,101000000,2985714,3400
11,5,92000,811,105000000,3100000,4100
11,6,93500,811,104000000,2300000,4400
11,7,95000,811,124000000,4000000,4700
11,8,96500,811,131000000,2900000,3900
11,9,98000,811,120000000,2700000,3900
11,10,99500,811,142000000,2985714,4700
11,11,101100,811,164000000,2985714,5300
11,12,92625,811,173000000,2985714,4467
12,0,273200,298,801000000,321000000,467000
12,1,277800,298,767000000,327000000,461000
12,2,282300,298,828000000,337000000,485000
12,3,286700,298,968000000,402000000,564000
12,4,291000,298,1076000000,471000000,617000
12,5,295200,298,992000000,826000000,395000
12,6,299400,298,1303000000,1235000000,602000
12,7,303500,298,1542000000,1331000000,676000
12,8,307600,298,1892000000,1392000000,683000
12,9,311700,298,1942000000,1366000000,656000
12,10,315900,298,2134000000,1713000000,792000
12,11,320100,298,2042000000,1868000000,931000
